Cédric
Dani Ceballos
David Luiz
Gabriel
Gabriel Martinelli
Héctor Bellerín
Joel López
Nuno Tavares
Pablo Marí
Willian
Aaron Ramsdale
Albert Lokonga
Alex Kirk
Alex Rúnarsson
Alexandre Lacazette
Arthur Okonkwo
Ben Cottrell
Ben White
Bernd Leno
Bukayo Saka
Calum Chambers
Charlie Patino
Eddie Nketiah
Emile Smith Rowe
Folarin Balogun
Granit Xhaka
James Hillson
Jordan McEneff
Karl Hein
Kieran Tierney
Marcelo Flores
Martin Ødegaard
Mathew Ryan
Mazeed Ogungbo
Miguel Azeez
Mika Biereth
Mohamed Elneny
Nicolas Pépé
Omari Hutchinson
Pierre-Emerick Aubameyang
Reiss Nelson
Rob Holding
Salah Oulad M'hand
Takehiro Tomiyasu
Thomas Partey
Zach Awe
Zak Swanson
